Unique ID,State/UT,District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status
OR/KPT/2024/25/1290,Odisha,Koraput,Diphtheria,1,1,17-06-2024,18-06-2024,Under Surveillance
OR/KPT/2024/25/1291,Odisha,Koraput,Anthrax,6,0,19-06-2024,20-06-2024,Under Control
OR/MAL/2024/25/1292,Odisha,Malkangiri,Acute Diarrheal Disease,8,1,18-06-2024,18-06-2024,Under Control
OR/SBP/2024/25/1295,Odisha,Sambalpur,Hepatitis A,132,0,17-06-2024,18-06-2024,Under Surveillance
TN/TVM/2024/25/1297,Tamil Nadu,Tiruvannamalai,Acute Diarrheal Disease,14,0,19-06-2024,20-06-2024,Under Control
UK/NAI/2024/25/1298,Uttarakhand,Nainital,Acute Diarrheal Disease,75,1,18-06-2024,18-06-2024,Under Control
WB/PRL/2024/25/1299,West Bengal,Purulia,Acute Diarrheal Disease,6,0,20-06-2024,20-06-2024,Under Control
AP/CTR/2024/26/1306,Andhra Pradesh,Chittoor,Acute Diarrheal Disease,9,0,28-06-2024,28-06-2024,Under Control
AP/CTR/2024/26/1307,Andhra Pradesh,Chittoor,Acute Diarrheal Disease,25,0,24-06-2024,24-06-2024,Under Control
AP/KUR/2024/26/1308,Andhra Pradesh,Nandyal,Acute Diarrheal Disease,17,0,22-06-2024,24-06-2024,Under Control
AS/CRG/2024/26/1309,Assam,Chirang,Malaria,6,0,27-06-2024,27-06-2024,Under Surveillance
AS/KAD/2024/26/1310,Assam,Karbi Anglong,Acute Encephalitic Syndrome,1,1,28-06-2024,28-06-2024,Under Surveillance
AS/MJU/2024/26/1311,Assam,Majuli,Mushroom Poisoning,1,1,25-06-2024,28-06-2024,Under Control
BH/PAC/2024/26/1312,Bihar,Purbi Champaran,Measles,9,0,26-06-2024,27-06-2024,Under Surveillance
GJ/AND/2024/26/1313,Gujarat,Anand,Cholera,60,0,27-06-2024,28-06-2024,Under Control
GJ/MIS/2024/26/1314,Gujarat,Mahisagar,Food Poisoning,8,0,29-06-2024,29-06-2024,Under Control
JK/BML/2024/26/1315,Jammu and Kashmir,Baramulla,Hepatitis A,14,0,25-06-2024,25-06-2024,Under Control
JK/KWR/2024/26/1316,Jammu and Kashmir,Kupwara,Chickenpox,26,0,26-06-2024,26-06-2024,Under Surveillance
JK/SNR/2024/26/1317,Jammu and Kashmir,Srinagar,Hepatitis A,14,0,26-06-2024,27-06-2024,Under Surveillance
JH/KOE/2024/26/1318,Jharkhand,Koderma,Malaria,6,0,26-06-2024,29-06-2024,Under Control
KN/BEL/2024/26/1319,Karnataka,Ballari,Acute Diarrheal Disease,15,0,24-06-2024,25-06-2024,Under Surveillance
KN/BEG/2024/26/1320,Karnataka,Belagavi,Cholera,10,0,24-06-2024,24-06-2024,Under Control
KN/KOL/2024/26/1322,Karnataka,Kolar,Cholera,30,0,24-06-2024,24-06-2024,Under Control
KN/RCR/2024/26/1323,Karnataka,Raichur,Acute Diarrheal Disease,13,0,27-06-2024,28-06-2024,Under Control
KL/ERN/2024/26/1327,Kerala,Ernakulam,Dengue,113,0,23-06-2024,24-06-2024,Under Surveillance
KL/IDK/2024/26/1328,Kerala,Idukki,Hepatitis A,11,0,22-06-2024,28-06-2024,Under Surveillance
KL/MLP/2024/26/1329,Kerala,Malappuram,Acute Gastroenteritis,9,0,23-06-2024,24-06-2024,Under Surveillance
KL/PKD/2024/26/1330,Kerala,Palakkad,Hepatitis A,6,0,23-06-2024,24-06-2024,Under Surveillance
MP/NSP/2024/26/1332,Madhya Pradesh,Narsinghpur,Dengue,23,0,24-06-2024,24-06-2024,Under Surveillance
MP/SNA/2024/26/1333,Madhya Pradesh,Satna,Acute Diarrheal Disease,68,0,27-06-2024,27-06-2024,Under Control
MP/SHR/2024/26/1334,Madhya Pradesh,Sehore,Dengue,16,0,24-06-2024,24-06-2024,Under Surveillance
MH/PNE/2024/26/1342,Maharashtra,Pune,Zika Virus,8,0,24-06-2024,27-06-2024,Under Surveillance
MH/PNE/2024/26/1343,Maharashtra,Pune,Dengue,5,0,19-06-2024,25-06-2024,Under Surveillance
MH/PNE/2024/26/1344,Maharashtra,Pune,Chikungunya,12,0,19-06-2024,25-06-2024,Under Surveillance
MH/RGD/2024/26/1345,Maharashtra,Raigad,Dengue,2,1,24-06-2024,25-06-2024,Under Surveillance
MG/EKH/2024/26/1350,Meghalaya,East Khasi Hills,Mushroom Poisoning,5,0,23-06-2024,24-06-2024,Under Control
MG/WKH/2024/26/1351,Meghalaya,West Khasi Hills,Measles,15,0,26-06-2024,30-06-2024,Under Surveillance
OR/NYG/2024/26/1353,Odisha,Nayagarh,Hepatitis A,8,0,26-05-2024,26-06-2024,Under Surveillance
OR/PRI/2024/26/1355,Odisha,Puri,Acute Diarrheal Disease,12,1,25-06-2024,26-06-2024,Under Control
TN/PUD/2024/26/1360,Tamil Nadu,Pudukkottai,Chikungunya,20,0,25-06-2024,26-06-2024,Under Control
TN/TVR/2024/26/1361,Tamil Nadu,Thiruvarur,Acute Gastroenteritis,37,0,27-06-2024,28-06-2024,Under Control
TL/RAY/2024/26/1367,Telangana,Ranga Reddy,Acute Diarrheal Disease,48,0,26-06-2024,26-06-2024,Under Control
UP/FAT/2024/26/1369,Uttar Pradesh,Kannauj,Food Poisoning,21,0,24-06-2024,26-06-2024,Under Surveillance
UK/RDP/2024/26/1370,Uttarakhand,Rudraprayag,Hepatitis A,11,0,27-06-2024,29-06-2024,Under Surveillance
WB/HGL/2024/26/1371,West Bengal,Hooghly,Food Poisoning,42,0,25-06-2024,25-06-2024,Under Control
AP/ANT/2024/27/1382,Andhra Pradesh,Anantapur,Acute Diarrheal Disease,22,0,26-06-2024,03-07-2024,Under Control
