Unique ID,State/UT,District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting,Current Status
CT/BLG/2024/35/2133,Chhattisgarh,Sarangarh Bilaigarh,Acute Diarrheal Disease,31,0,28-08-2024,28-08-2024,Under Control
CT/SUK/2024/35/2134,Chhattisgarh,Sukma,Dengue,45,0,28-08-2024,30-08-2024,Under Surveillance
GJ/DOD/2024/35/2135,Gujarat,Dohad,Food Poisoning,29,0,29-08-2024,31-08-2024,Under Surveillance
JK/BRM/2024/35/2136,Jammu and Kashmir,Baramulla,Jaundice,15,0,27-08-2024,28-08-2024,Under Surveillance
JH/PKU/2024/35/2137,Jharkhand,Pakur,Acute Diarrheal Disease,16,0,30-08-2024,30-08-2024,Under Surveillance
JH/WSB/2024/35/2138,Jharkhand,West Singhbhum,Malaria,40,0,30-08-2024,31-08-2024,Under Surveillance
KN/CHM/2024/35/2139,Karnataka,Chamarajanagar,Food Poisoning,33,0,28-08-2024,29-08-2024,Under Surveillance
KN/DAV/2024/35/2140,Karnataka,Davangere,Acute Diarrheal Disease,86,0,29-08-2024,31-08-2024,Under Surveillance
KN/DAV/2024/35/2141,Karnataka,Davangere,Acute Diarrheal Disease,30,0,24-08-2024,26-08-2024,Under Control
KN/HAV/2024/35/2142,Karnataka,Haveri,Acute Diarrheal Disease,50,0,26-08-2024,26-08-2024,Under Control
KN/MND/2024/35/2143,Karnataka,Mandya,Acute Diarrheal Disease,27,1,24-08-2024,27-08-2024,Under Surveillance
KN/TUM/2024/35/2144,Karnataka,Tumakuru,Acute Diarrheal Disease,41,1,26-08-2024,27-08-2024,Under Surveillance
LD/LEH/2024/35/2145,Ladakh,Leh Ladakh,Mumps,49,0,29-08-2024,30-08-2024,Under Surveillance
MP/ASO/2024/35/2146,Madhya Pradesh,Ashoknagar,Acute Diarrheal Disease,42,0,30-08-2024,30-08-2024,Under Surveillance
MP/CHT/2024/35/2147,Madhya Pradesh,Chhatarpur,Acute Diarrheal Disease,4,2,29-08-2024,29-08-2024,Under Surveillance
MP/CHD/2024/35/2148,Madhya Pradesh,Chhindwara,Acute Diarrheal Disease,36,0,28-08-2024,28-08-2024,Under Surveillance
MP/DAT/2024/35/2149,Madhya Pradesh,Datia,Acute Diarrheal Disease,30,0,25-08-2024,26-08-2024,Under Surveillance
MP/HRD/2024/35/2150,Madhya Pradesh,Harda,Dengue,43,0,28-08-2024,28-08-2024,Under Surveillance
MP/MOR/2024/35/2151,Madhya Pradesh,Morena,Fever of Unknown Origin,17,0,29-08-2024,30-08-2024,Under Surveillance
MP/RIS/2024/35/2152,Madhya Pradesh,Raisen,Acute Diarrheal Disease,24,0,29-08-2024,30-08-2024,Under Surveillance
MH/BED/2024/35/2153,Maharashtra,Beed,Hepatitis A,9,0,28-08-2024,29-08-2024,Under Surveillance
MH/PLG/2024/35/2154,Maharashtra,Palghar,Malaria,41,0,28-08-2024,29-08-2024,Under Surveillance
AP/ASR/2024/36/2187,Andhra Pradesh,Alluri Sitharama Raju,Food Poisoning,61,0,30-08-2024,02-09-2024,Under Control
AP/NDL/2024/36/2188,Andhra Pradesh,Nandyal,Acute Diarrheal Disease,36,0,02-09-2024,03-09-2024,Under Control
AS/CHR/2024/36/2189,Assam,Cachar,Chickenpox,8,0,06-09-2024,06-09-2024,Under Surveillance
BH/ARL/2024/36/2190,Bihar,Arwal,Acute Diarrheal Disease,7,2,01-09-2024,07-09-2024,Under Surveillance
CT/BJP/2024/36/2191,Chhattisgarh,Bijapur,Measles,9,0,04-09-2024,04-09-2024,Under Surveillance
CT/DHM/2024/36/2192,Chhattisgarh,Dhamtari,Acute Diarrheal Disease,26,0,04-09-2024,05-09-2024,Under Control
CT/MUG/2024/36/2193,Chhattisgarh,Mungeli,Acute Diarrheal Disease,109,0,03-09-2024,03-09-2024,Under Control
CT/RIG/2024/36/2194,Chhattisgarh,Raigarh,Acute Diarrheal Disease,38,0,03-09-2024,03-09-2024,Under Surveillance
GJ/VDD/2024/36/2195,Gujarat,Vadodara,Cholera,29,0,05-09-2024,06-09-2024,Under Control
HR/YMN/2024/36/2196,Haryana,Yamunanagar,Acute Diarrheal Disease,34,0,05-09-2024,05-09-2024,Under Control
JK/BON/2024/36/2197,Jammu and Kashmir,Bandipora,Cholera,23,0,02-09-2024,03-09-2024,Under Surveillance
JK/KTH/2024/36/2198,Jammu and Kashmir,Kathua,Dengue,5,0,05-09-2024,05-09-2024,Under Surveillance
JK/SOP/2024/36/2199,Jammu and Kashmir,Shopian,Hepatitis A,10,0,03-09-2024,04-09-2024,Under Surveillance
JK/SRN/2024/36/2200,Jammu and Kashmir,Srinagar,Hepatitis A,10,0,03-09-2024,03-09-2024,Under Surveillance
JK/UDP/2024/36/2201,Jammu and Kashmir,Udhampur,Cholera,47,0,02-09-2024,04-09-2024,Under Surveillance
JH/GIR/2024/36/2202,Jharkhand,Giridih,Acute Diarrheal Disease,12,1,02-09-2024,02-09-2024,Under Surveillance
JH/GIR/2024/36/2203,Jharkhand,Giridih,Acute Diarrheal Disease,19,1,03-09-2024,03-09-2024,Under Control
KN/UDP/2024/36/2204,Karnataka,Udupi,Cholera,8,0,04-09-2024,05-09-2024,Under Control
KN//UTK2024/36/2205,Karnataka,Uttar Kannad,Acute Diarrheal Disease,91,1,02-09-2024,02-09-2024,Under Surveillance
KL/IDK/2024/36/2206,Kerala,Idukki,Mumps,21,0,02-09-2024,03-09-2024,Under Surveillance
KL/KOZ/2024/36/2207,Kerala,Kozhikode,Hepatitis A,71,0,04-09-2024,06-09-2024,Under Surveillance
KL/KOZ/2024/36/2208,Kerala,Kozhikode,Dengue,20,0,04-09-2024,04-09-2024,Under Surveillance
MP/BRW/2024/36/2209,Madhya Pradesh,Barwani,Acute Diarrheal Disease,27,0,02-09-2024,02-09-2024,Under Control
MP/GUN/2024/36/2210,Madhya Pradesh,Guna,Dengue,18,0,06-09-2024,06-09-2024,Under Surveillance
MP/HRD/2024/36/2211,Madhya Pradesh,Harda,Dengue,10,0,03-09-2024,05-09-2024,Under Control
MP/MND/2024/36/2212,Madhya Pradesh,Mandla,Acute Diarrheal Disease,47,0,05-09-2024,05-09-2024,Under Surveillance
MP/REW/2024/36/2213,Madhya Pradesh,Rewa,Acute Diarrheal Disease,10,0,03-09-2024,03-09-2024,Under Surveillance
MP/REW/2024/36/2214,Madhya Pradesh,Rewa,Acute Diarrheal Disease,8,0,01-09-2024,02-09-2024,Under Control
MP/STN/2024/36/2215,Madhya Pradesh,Satna,Acute Diarrheal Disease,31,2,06-09-2024,06-09-2024,Under Surveillance
MP/STN/2024/36/2216,Madhya Pradesh,Satna,Acute Diarrheal Disease,24,0,05-09-2024,05-09-2024,Under Surveillance
MP/SJP/2024/36/2217,Madhya Pradesh,Shajapur,Dengue,6,0,04-09-2024,08-09-2024,Under Surveillance
MP/UMR/2024/36/2218,Madhya Pradesh,Umaria,Acute Diarrheal Disease,8,0,08-09-2024,08-09-2024,Under Surveillance
MP/UMR/2024/36/2219,Madhya Pradesh,Umaria,Acute Diarrheal Disease,7,0,08-09-2024,08-09-2024,Under Surveillance
MP/UMR/2024/36/2220,Madhya Pradesh,Umaria,Acute Diarrheal Disease,6,0,08-09-2024,08-09-2024,Under Surveillance
AP/CTR/2024/37/2255,Andhra Pradesh,Chittoor,Cholera,63,0,15-09-2024,15-09-2024,Under Surveillance
AP/SSS/2024/37/2256,Andhra Pradesh,Sri Sathya Sai,Food Poisoning,64,0,10-09-2024,10-09-2024,Under Surveillance
AS/DHE/2024/37/2257,Assam,Dhemaji,Food Poisoning,120,0,09-09-2024,10-09-2024,Under Surveillance
AS/DHE/2024/37/2258,Assam,Dhemaji,Food Poisoning,189,0,08-09-2024,09-09-2024,Under Surveillance
AS/LKP/2024/37/2259,Assam,Lakhimpur,Food Poisoning,52,0,15-09-2024,15-09-2024,Under Surveillance
BH/ARB/2024/37/2260,Bihar,Aurangabad,Acute Diarrheal Disease,24,0,13-09-2024,14-09-2024,Under Surveillance
BH/BXR/2024/37/2261,Bihar,Buxar,Acute Diarrheal Disease,45,0,11-09-2024,11-09-2024,Under Surveillance
BH/GYA/2024/37/2262,Bihar,Gaya,Acute Diarrheal Disease,15,2,09-09-2024,10-09-2024,Under Surveillance
CT/BLD/2024/37/2263,Chhattisgarh,Balod,Acute Diarrheal Disease,135,0,14-09-2024,15-09-2024,Under Surveillance
CT/DRG/2024/37/2264,Chhattisgarh,Durg,Cholera,50,0,13-09-2024,14-09-2024,Under Surveillance
CT/RG/2024/37/2265,Chhattisgarh,Durg,Cholera,43,0,09-09-2024,13-09-2024,Under Control
CT/SRJ/2024/37/2266,Chhattisgarh,Surguja,Acute Diarrheal Disease,26,0,11-09-2024,11-09-2024,Under Control
GJ/JMN/2024/37/2267,Gujarat,Jamnagar,Cholera,83,0,14-09-2024,14-09-2024,Under Surveillance
JK/ANN/2024/37/2268,Jammu and Kashmir,Anantnag,Hepatitis A,10,0,13-09-2024,13-09-2024,Under Surveillance
JK/BRM/2024/37/2269,Jammu and Kashmir,Baramulla,Chickenpox,50,0,11-09-2024,11-09-2024,Under Surveillance
JK/BRM/2024/37/2270,Jammu and Kashmir,Baramulla,Hepatitis A,11,0,07-09-2024,09-09-2024,Under Surveillance
JK/KUL/2024/37/2271,Jammu and Kashmir,Kulgam,Hepatitis A,28,0,09-09-2024,10-09-2024,Under Surveillance
JK/RMB/2024/37/2272,Jammu and Kashmir,Ramban,Hepatitis A,10,2,09-09-2024,11-09-2024,Under Surveillance
JK/SRN/2024/37/2273,Jammu and Kashmir,Srinagar,Hepatitis A,11,0,09-09-2024,09-09-2024,Under Surveillance
JH/LTH/2024/37/2274,Jharkhand,Latehar,Scrub typhus,40,0,10-09-2024,10-09-2024,Under Surveillance
JH/PKU/2024/37/2275,Jharkhand,Pakur,Acute Diarrheal Disease,12,0,10-09-2024,11-09-2024,Under Surveillance
KN/MYS/2024/37/2276,Karnataka,Mysuru,Acute Diarrheal Disease,90,2,11-09-2024,11-09-2024,Under Control
KN/UDP/2024/37/2277,Karnataka,Udupi,Cholera,5,0,10-09-2024,15-09-2024,Under Surveillance
KL/IDK/2024/37/2278,Kerala,Idukki,Mumps,19,0,10-09-2024,11-09-2024,Under Surveillance
KL/KOZ/2024/37/2279,Kerala,Kozhikode,Hepatitis A,325,0,10-09-2024,10-09-2024,Under Surveillance
KL/KOZ/2024/37/2280,Kerala,Kozhikode,Hepatitis A,27,0,09-09-2024,09-09-2024,Under Surveillance
KL/PLK/2024/37/2281,Kerala,Palakkad,Food Poisoning,71,0,10-09-2024,10-09-2024,Under Control
MP/PNA/2024/37/2282,Madhya Pradesh,Panna,Acute Diarrheal Disease,15,3,12-09-2024,12-09-2024,Under Surveillance
MP/RTL/2024/37/2283,Madhya Pradesh,Ratlam,Dengue,26,0,10-09-2024,11-09-2024,Under Surveillance
MH/AMR/2024/37/2284,Maharashtra,Amravati,Acute Diarrheal Disease,67,2,11-09-2024,12-09-2024,Under Surveillance
MH/BHD/2024/37/2285,Maharashtra,Bhandara,Acute Diarrheal Disease,20,0,14-09-2024,14-09-2024,Under Surveillance
MH/BUL/2024/37/2286,Maharashtra,Buldhana,Acute Diarrheal Disease,26,0,07-09-2024,10-09-2024,Under Surveillance
MH/NDB/2024/37/2287,Maharashtra,Nandurbar,Acute Diarrheal Disease,16,0,08-09-2024,09-09-2024,Under Surveillance
MN/SEN/2024/37/2288,Manipur,Senapati,Chickenpox,10,0,10-09-2024,10-09-2024,Under Surveillance
AP/NND/2024/38/2313,Andhra Pradesh,Nandyal,Acute Diarrheal Disease,51,0,13-09-2024,17-09-2024,Under Surveillance
AP/VKP/2024/38/2314,Andhra Pradesh,Visakhapatanam,Acute Diarrheal Disease,24,0,14-09-2024,21-09-2024,Under Control
AR/NMS/2024/38/2315,Arunachal Pradesh,Namsai,Measles,2,0,16-09-2024,16-09-2024,Under Surveillance
AS/DAR/2024/38/2316,Assam,Darrang,Food Poisoning,35,0,19-09-2024,20-09-2024,Under Surveillance
AS/LKH/2024/38/2317,Assam,Lakhimpur,Acute Diarrheal Disease,13,0,15-09-2024,16-09-2024,Under Surveillance
BH/JHN/2024/38/2318,Bihar,Jehanabad,Dengue,11,0,17-09-2024,17-09-2024,Under Surveillance
CT/SUR/2024/38/2319,Chhattisgarh,Surajpur,Acute Diarrheal Disease,14,0,18-09-2024,18-09-2024,Under Control
CT/SUR/2024/38/2320,Chhattisgarh,Surguja,Acute Diarrheal Disease,17,0,20-09-2024,20-09-2024,Under Control
GJ/JMN/2024/38/2321,Gujarat,Jamnagar,Food Poisoning,79,0,13-09-2024,18-09-2024,Under Surveillance
GJ/PCM/2024/38/2322,Gujarat,Panchmahals,Hepatitis A,21,0,20-09-2024,20-09-2024,Under Surveillance
HR/KUR/2024/38/2323,Haryana,Kurukshetra,Hepatitis A & E,30,0,17-09-2024,17-09-2024,Under Surveillance
HP/HMP/2024/38/2324,Himachal Pradesh,Hamirpur,Acute Diarrheal Disease,47,0,13-09-2024,16-09-2024,Under Control
JK/ANT/2024/38/2325,Jammu and Kashmir,Anantnag,Hepatitis A,6,0,21-09-2024,21-09-2024,Under Surveillance
JH/GRH/2024/38/2326,Jharkhand,Garhwa,Acute Diarrheal Disease,10,0,18-09-2024,18-09-2024,Under Surveillance
JH/GRH/2024/38/2327,Jharkhand,Giridih,Acute Diarrheal Disease,15,1,18-09-2024,18-09-2024,Under Control
JH/SHB/2024/38/2328,Jharkhand,Sahebganj,Malaria,43,0,13-09-2024,18-09-2024,Under Control
JH/WSI/2024/38/2329,Jharkhand,West Singhbhum,Acute Diarrheal Disease,43,0,19-09-2024,19-09-2024,Under Surveillance
KN/VIJ/2024/38/2330,Karnataka,Vijayapura,Dengue,37,0,17-09-2024,19-09-2024,Under Surveillance
KL/MLP/2024/38/2331,Kerala,Malappuram,Mpox,1,0,16-09-2024,18-09-2024,Under Surveillance
KL/MLP/2024/38/2332,Kerala,Malappuram,Nipah Virus,1,1,15-09-2024,16-09-2024,Under Surveillance
KL/PLK/2024/38/2333,Kerala,Palakkad,Hepatitis A,4,0,20-09-2024,21-09-2024,Under Surveillance
MP/CHD/2024/38/2334,Madhya Pradesh,Chhindwara,Acute Diarrheal Disease,11,0,14-09-2024,16-09-2024,Under Surveillance
MP/DHR/2024/38/2335,Madhya Pradesh,Dhar,Dengue,171,0,17-09-2024,17-09-2024,Under Surveillance
MP/DHR/2024/38/2336,Madhya Pradesh,Dhar,Measles,15,0,17-09-2024,17-09-2024,Under Surveillance
MH/GDC/2024/38/2337,Maharashtra,Gadchiroli,Scrub Typhus,1,1,17-09-2024,17-09-2024,Under Control
MH/LAT/2024/38/2338,Maharashtra,Latur,Hepatitis A,65,0,18-09-2024,18-09-2024,Under Surveillance
MH/PNE/2024/38/2339,Maharashtra,Pune,Cholera,6,0,16-09-2024,19-09-2024,Under Surveillance
OR/BRG/2024/38/2340,Odisha,Bargarh,Scrub Typhus,27,0,13-09-2024,17-09-2024,Under Surveillance
OR/BRG/2024/38/2341,Odisha,Bargarh,Acute Diarrheal Disease,54,0,18-09-2024,18-09-2024,Under Control
OR/BRG/2024/38/2342,Odisha,Bargarh,Acute Diarrheal Disease,1,0,16-09-2024,17-09-2024,Under Control
OR/GJM/2024/38/2343,Odisha,Ganjam,Acute Diarrheal Disease,35,0,16-09-2024,18-09-2024,Under Surveillance
OR/GJM/2024/38/2344,Odisha,Ganjam,Hepatitis A,13,0,14-09-2024,16-09-2024,Under Surveillance
OR/KOP/2024/38/2345,Odisha,Koraput,Acute Diarrheal Disease,35,0,15-09-2024,18-09-2024,Under Control
OR/KOP/2024/38/2346,Odisha,Koraput,Acute Diarrheal Disease,1,0,16-09-2024,17-09-2024,Under Surveillance
AP/CHT/2024/39/2369,Andhra Pradesh,Chittoor,Cholera,28,0,24-09-2024,27-09-2024,Under Surveillance
AP/VIZ/2024/39/2370,Andhra Pradesh,Vizianagaram,Cholera,17,0,23-09-2024,27-09-2024,Under Surveillance
AS/JOH/2024/39/2371,Assam,Jorhat,Acute Diarrheal Disease,153,0,27-09-2024,27-09-2024,Under Surveillance
BH/AUR/2024/39/2372,Bihar,Aurangabad,Acute Diarrheal Disease,22,0,20-09-2024,23-09-2024,Under Surveillance
BH/JAM/2024/39/2373,Bihar,Jamui,Acute Diarrheal Disease,82,0,22-09-2024,23-09-2024,Under Surveillance
CT/BAD/2024/39/2374,Chhattisgarh,Balod,Acute Diarrheal Disease,79,0,22-09-2024,23-09-2024,Under Control
CT/BAL/2024/39/2375,Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,32,0,24-09-2024,24-09-2024,Under Control
CT/BEM/2024/39/2376,Chhattisgarh,Bemetara,Acute Diarrheal Disease,31,0,24-09-2024,24-09-2024,Under Surveillance
CT/JAS/2024/39/2377,Chhattisgarh,Jashpur,Food Poisoning,24,0,21-09-2024,23-09-2024,Under Surveillance
CT/MUN/2024/39/2378,Chhattisgarh,Mungeli,Acute Diarrheal Disease,47,0,23-09-2024,25-09-2024,Under Control
GJ/BRA/2024/39/2379,Gujarat,Bharuch,Cholera,17,0,23-09-2024,23-09-2024,Under Surveillance
GJ/MHE/2024/39/2380,Gujarat,Mahesana,Hepatitis A,13,0,28-09-2024,28-09-2024,Under Surveillance
JK/KUP/2024/39/2381,Jammu and Kashmir,Kupwara,Cholera,59,0,25-09-2024,25-09-2024,Under Surveillance
JK/SHP/2024/39/2382,Jammu and Kashmir,Shopian,Hepatitis A,20,0,25-09-2024,27-09-2024,Under Surveillance
JK/SIM/2024/39/2383,Jharkhand,Simdega,Malaria,7,0,28-09-2024,28-09-2024,Under Surveillance
KN/RIC/2024/39/2384,Karnataka,Raichur,Food Poisoning,14,0,24-09-2024,25-09-2024,Under Control
KL/ERN/2024/39/2385,Kerala,Ernakulam,Mpox,1,0,25-09-2024,28-09-2024,Under Surveillance
KL/KAS/2024/39/2386,Kerala,Kasaragod,Leptospirosis,11,2,22-09-2024,24-09-2024,Under Surveillance
KL/KOZ/2024/39/2387,Kerala,Kozhikode,Hepatitis A,37,0,28-09-2024,28-09-2024,Under Surveillance
KL/MLP/2024/39/2388,Kerala,Malappuram,Hepatitis A,14,0,25-09-2024,27-09-2024,Under Surveillance
KL/PLK/2024/39/2389,Kerala,Palakkad,Acute Diarrheal Disease,23,0,26-09-2024,28-09-2024,Under Surveillance
MP/ENM/2024/39/2390,Madhya Pradesh,East Nimar,Chikungunya,21,0,25-09-2024,25-09-2024,Under Surveillance
MP/JHB/2024/39/2391,Madhya Pradesh,Jhabua,Dengue,12,0,23-09-2024,23-09-2024,Under Surveillance
MP/REW/2024/39/2392,Madhya Pradesh,Rewa,Acute Diarrheal Disease,36,0,29-09-2024,29-09-2024,Under Surveillance
MH/BED/2024/39/2393,Maharashtra,Beed,Hepatitis A,10,0,21-09-2024,23-09-2024,Under Surveillance
MH/BND/2024/39/2394,Maharashtra,Bhandara,Food Poisoning,42,0,26-09-2024,26-09-2024,Under Surveillance
MH/KOP/2024/39/2395,Maharashtra,Kolhapur,Hepatitis A,12,0,27-09-2024,27-09-2024,Under Surveillance
MH/NND/2024/39/2396,Maharashtra,Nanded,Acute Diarrheal Disease,26,0,28-09-2024,28-09-2024,Under Surveillance
MH/WAS/2024/39/2397,Maharashtra,Washim,Chikungunya,9,0,26-09-2024,27-09-2024,Under Surveillance
OR/BAL/2024/39/2398,Odisha,Balangir,Acute Diarrheal Disease,81,0,22-09-2024,24-09-2024,Under Surveillance
OR/SON/2024/39/2399,Odisha,Sonepur,Acute Diarrheal Disease,30,0,26-09-2024,27-09-2024,Under Surveillance
PB/FAZ/2024/39/2400,Punjab,Fazilka,Mumps,24,0,26-09-2024,27-09-2024,Under Surveillance
TN/CUD/2024/39/2401,Tamil Nadu,Cuddalore,Dengue,12,0,27-09-2024,29-09-2024,Under Surveillance
TN/MAY/2024/39/2402,Tamil Nadu,Mayiladuthurai,Mumps,6,0,25-09-2024,26-09-2024,Under Surveillance
AP/NAD/2024/40/2414,Andhra Pradesh,Nandyal,Food Poisoning,13,0,04-10-2024,04-10-2024,Under Surveillance
AP/YSR/2024/40/2415,Andhra Pradesh,Y. S. Rajasekhara Reddy,Acute Diarrheal Disease,32,0,03-10-2024,03-10-2024,Under Control
AS/CHR/2024/40/2416,Assam,Charaideo,Acute Diarrheal Disease,11,1,04-10-2024,05-10-2024,Under Surveillance
AS/JOR/2024/40/2417,Assam,Jorhat,Acute Diarrheal Disease,175,1,04-10-2024,04-10-2024,Under Surveillance
AS/LKM/2024/40/2418,Assam,Lakhimpur,Acute Diarrheal Disease,21,0,05-10-2024,05-10-2024,Under Surveillance
AS/LKM/2024/40/2419,Assam,Lakhimpur,Dengue,27,0,01-10-2024,01-10-2024,Under Surveillance
BH/PCH/2024/40/2420,Bihar,Pashchim Champaran,Food Poisoning,30,0,28-09-2024,30-09-2024,Under Surveillance
CT/BLD/2024/40/2421,Chhattisgarh,Balod,Acute Diarrheal Disease,82,0,29-09-2024,30-09-2024,Under Control
CT/BDB/2024/40/2422,Chhattisgarh,Baloda Bazar,Acute Gastroenteritis,33,0,30-09-2024,01-10-2024,Under Control
CT/B.JP/2024/40/2423,Chhattisgarh,Bijapur,Dengue,17,0,03-10-2024,03-10-2024,Under Surveillance
CT/BJP/2024/40/2424,Chhattisgarh,Bijapur,Chikungunya,4,0,01-10-2024,01-10-2024,Under Surveillance
CT/KNK/2024/40/2425,Chhattisgarh,Kanker,Acute Diarrheal Disease,25,0,01-10-2024,05-10-2024,Under Surveillance
CT/MAH/2024/40/2426,Chhattisgarh,Mahasamund,Acute Diarrheal Disease,15,0,03-10-2024,03-10-2024,Under Surveillance
CT/MAH/2024/40/2427,Chhattisgarh,Mahasamund,Acute Diarrheal Disease,16,0,02-10-2024,03-10-2024,Under Surveillance
CT/MUG/2024/40/2428,Chhattisgarh,Mungeli,Acute Diarrheal Disease,20,0,02-10-2024,03-10-2024,Under Control
CT/RAJ/2024/40/2429,Chhattisgarh,Rajnandgaon,Acute Diarrheal Disease,16,0,02-10-2024,04-10-2024,Under Surveillance
CT/RAJ/2024/40/2430,Chhattisgarh,Rajnandgaon,Acute Diarrheal Disease,12,0,01-10-2024,04-10-2024,Under Control
GO/NRG/2024/40/2431,Goa,North Goa,Acute Diarrheal Disease,6,1,04-10-2024,04-10-2024,Under Surveillance
GJ/AMR/2024/40/2432,Gujarat,Amreli,Food Poisoning,47,0,01-10-2024,01-10-2024,Under Control
GJ/DBD/2024/40/2433,Gujarat,Devbhumi Dwarka,Food Poisoning,12,0,02-10-2024,03-10-2024,Under Surveillance
GJ/KCH/2024/40/2434,Gujarat,Kachchh,Acute Diarrheal Disease,10,0,04-10-2024,05-10-2024,Under Control
HR/KRN/2024/40/2435,Haryana,Karnal,Acute Diarrheal Disease,43,0,30-09-2024,30-09-2024,Under Control
JK/ANT/2024/40/2436,Jammu and Kashmir,Anantnag,Hepatitis A,8,0,28-09-2024,01-10-2024,Under Control
JK/SHP/2024/40/2437,Jammu and Kashmir,Shopian,Hepatitis A,10,0,30-09-2024,30-09-2024,Under Surveillance
JK/SHP/2024/40/2438,Jammu and Kashmir,Shopian,Hepatitis A,8,0,30-09-2024,30-09-2024,Under Control
JH/GOD/2024/40/2439,Jharkhand,Godda,Acute Diarrheal Disease,12,0,04-10-2024,04-10-2024,Under Surveillance
KN/BGR/2024/40/2440,Karnataka,Bengaluru Rural,Food Poisoning,17,0,03-10-2024,03-10-2024,Under Control
KN/GUL/2024/40/2441,Karnataka,Kalaburagi,Acute Diarrheal Disease,89,0,30-09-2024,30-09-2024,Under Control
KN/UDP/2024/40/2442,Karnataka,Udupi,Dysentery,35,0,30-09-2024,03-10-2024,Under Control
KL/ERN/2024/40/2443,Kerala,Ernakulam,Hepatitis A,4,0,30-09-2024,03-10-2024,Under Surveillance
KL/THI/2024/40/2444,Kerala,Thiruvananthapuram,Mumps,16,0,03-10-2024,04-10-2024,Under Surveillance
KL/TRC/2024/40/2445,Kerala,Thrissur,Mumps,18,0,27-09-2024,03-10-2024,Under Surveillance
MP/CHD/2024/40/2446,Madhya Pradesh,Chhindwara,Acute Diarrheal Disease,66,0,03-10-2024,03-10-2024,Under Surveillance
MP/ENI/2024/40/2447,Madhya Pradesh,East Nimar,Acute Diarrheal Disease,12,0,03-10-2024,03-10-2024,Under Surveillance
AN/SAD/2024/41/2472,Andaman & Nicobar Islands,South Andamans,Fever with Rash,8,0,07-10-2024,07-10-2024,Under Control
AP/VIZ/2024/41/2473,Andhra Pradesh,Vizianagaram,Acute Diarrheal Disease,11,0,03-10-2024,10-10-2024,Under Surveillance
AS/JRH/2024/41/2474,Assam,Jorhat,Acute Diarrheal Disease,14,0,08-10-2024,11-10-2024,Under Surveillance
GJ/SRD/2024/41/2475,Gujarat,Surendranagar,Food Poisoning,42,0,10-10-2024,11-10-2024,Under Control
HR/KRK/2024/41/2476,Haryana,Kurukshetra,Acute Diarrheal Disease,30,0,08-10-2024,08-10-2024,Under Surveillance
JK/BON/2024/41/2477,Jammu and Kashmir,Bandipora,Jaundice,17,0,11-10-2024,11-10-2024,Under Surveillance
JK/PUL/2024/41/2478,Jammu and Kashmir,Pulwama,Hepatitis A,18,0,04-10-2024,07-10-2024,Under Surveillance
JK/SHO/2024/41/2479,Jammu and Kashmir,Shopian,Hepatitis A,12,0,10-10-2024,10-10-2024,Under Surveillance
JH/ESB/2024/41/2480,Jharkhand,East Singhbum,Acute Diarrheal Disease,16,0,09-10-2024,10-10-2024,Under Surveillance
JH/LAT/2024/41/2481,Jharkhand,Latehar,Food Poisoning,67,0,07-10-2024,07-10-2024,Under Surveillance
KN/RAC/2024/41/2482,Karnataka,Raichur,Food Poisoning,17,0,09-10-2024,10-10-2024,Under Control
KL/IDK/2024/41/2483,Kerala,Idukki,Food Poisoning,16,0,07-10-2024,08-10-2024,Under Surveillance
KL/THI/2024/41/2484,Kerala,Thiruvananthapuram,Food Poisoning,101,0,13-10-2024,13-10-2024,Under Surveillance
KL/THI/2024/41/2485,Kerala,Thiruvananthapuram,Food Poisoning,70,0,06-10-2024,07-10-2024,Under Control
KL/TRC/2024/41/2486,Kerala,Thrissur,Food Poisoning,172,0,10-10-2024,11-10-2024,Under Surveillance
MP/CHT/2024/41/2487,Madhya Pradesh,Chhatarpur,Mumps,15,0,10-10-2024,10-10-2024,Under Surveillance
MP/IND/2024/41/2488,Madhya Pradesh,Indore,Dengue,101,0,07-10-2024,11-10-2024,Under Surveillance
MP/KHG/2024/41/2489,Madhya Pradesh,Khargone,Acute Diarrheal Disease,27,0,11-10-2024,11-10-2024,Under Surveillance
MP/SHE/2024/41/2490,Madhya Pradesh,Sheopur,Acute Diarrheal Disease,19,0,12-10-2024,13-10-2024,Under Surveillance
MH/BUL/2024/41/2491,Maharashtra,Buldhana,Acute Diarrheal Disease,170,0,06-10-2024,07-10-2024,Under Control
MH/NAG/2024/41/2492,Maharashtra,Nagpur,Acute Diarrheal Disease,136,0,11-10-2024,11-10-2024,Under Surveillance
MH/PRB/2024/41/2493,Maharashtra,Parbhani,Acute Diarrheal Disease,30,0,05-10-2024,07-10-2024,Under Control
MH/PNE/2024/41/2494,Maharashtra,Pune,Acute Diarrheal Disease,28,0,10-10-2024,11-10-2024,Under Surveillance
MG/EKH/2024/41/2495,Meghalaya,Eastern West Khasi Hills,Measles,35,0,10-09-2024,10-10-2024,Under Surveillance
OR/BHD/2024/41/2496,Odisha,Bhadrak,Hepatitis A,3,0,07-10-2024,07-10-2024,Under Surveillance
OR/KHD/2024/41/2497,Odisha,Khordha,Hepatitis A,6,0,08-10-2024,09-10-2024,Under Surveillance
